snap(10,4,-26)
sky(191,217,255)
fog(172,200,229)
clouds(255,255,255,5,-1500)
ground(186,191,179)
texture(54,179,109,31)
fadefrom(5000)
density(5)
mountains(92876)

nlaps(3)
name(The Evil Clown)

soundtrack(jensz,zip)

set(48,0,0,0)p
set(15,0,5600,0)
chk(42,0,6100,0)
set(15,0,11200,0)
set(15,0,16800,0)
set(15,0,22400,0)p
set(16,0,28000,0)p
set(15,0,33600,0)
set(17,0,38150,-90)pt
set(15,-4550,38150,-90)
set(63,-6625,37725,-90)
set(63,-5200,38000,180)
set(63,-6250,38575,90)
chk(42,-3275,38150,90)
set(16,-10150,38150,-90)
set(15,-15750,38150,-90)p
set(15,-21350,38150,-90)
fix(41,-27275,38150,-1000,90)
set(15,-26950,38150,-90)
set(15,-32550,38150,90)p
set(63,-30850,38350,90)
set(63,-33150,37925,-90)
set(62,-32050,38450,0)
set(63,-34025,38475,0)
set(17,-37100,38150,0)pt
set(62,-36475,37400,-90)
set(62,-34900,37925,90)
set(63,-35875,38350,90)
set(44,-37100,33600,0)
chk(42,-37100,32950,0)
set(43,-37100,28000,0)p
set(43,-37100,22400,180)
set(43,-37100,16800,0)
set(34,-37100,20692,0)pr
set(43,-37100,11200,0)
set(43,-37100,5600,180)
set(35,-36802,6758,180)
set(35,-37411,8753,0)pr
set(44,-37100,0,180)p
set(17,-37100,-4550,90)
chk(42,-37100,-2800,0)
set(15,-32550,-4550,90)
set(15,-26950,-4550,90)
set(53,-29750,-4550,90)pr
set(15,-21350,-4550,90)p
set(16,-15750,-4550,-90)p
set(15,-10150,-4550,-90)
chk(42,-9644,-4550,90)
set(17,-5600,-4550,180)pt
set(15,-5600,0,0)
set(33,-5600,-1000,0)
set(33,-5600,1500,180)pr
set(15,-5600,5600,0)
set(33,-5600,6325,180)
set(33,-5600,3800,0)pr
set(15,-5600,11200,0)
set(55,0,11750,180)pr
set(33,-5600,8850,0)pr
set(15,-5600,16800,0)p
set(15,-5600,22400,180)p
set(24,-5600,25200,0)p
set(15,-5600,31875,180)
set(24,-5600,34675,0)
set(55,-5600,34200,0)pr
set(10,-5600,45301,0)
set(23,-5600,42501,0)
fltchk(64,-5600,42451,-2626,0)
set(58,-5600,41225,0)pr
set(10,-5600,50901,180)p
set(37,-5400,48900,-90)
set(37,-5600,50375,180)
set(37,-5750,51775,-90)
set(10,-5600,56501,180)p
set(14,-5600,61051,-90)pt
set(10,-10150,61051,-90)
chk(40,-12950,61051,90)
set(10,-15750,61051,-90)p
set(14,-20300,61051,0)pt
set(10,-20300,56501,0)
set(10,-20300,50901,0)
set(49,-21000,55101,0)
set(49,-21000,52301,0)ph
set(10,-20300,45301,0)p
set(49,-21000,49501,0)
set(49,-21000,46701,0)
set(23,-20300,42501,0)
set(23,-20300,33832,180)
set(53,-22350,38150,90)pr
set(10,-20300,31032,0)p
set(54,-21000,29324,0)
set(54,-21000,31667,0)
set(54,-19600,33832,0)
set(54,-21000,33832,0)
set(54,-19600,31667,0)
set(54,-19600,29324,0)
set(10,-20300,25432,0)p
set(54,-21000,24382,0)
set(54,-21000,27137,0)
set(54,-19600,27137,0)
set(54,-19600,24382,0)
set(10,-20300,19832,0)p
set(54,-21000,18791,0)
set(54,-21000,21584,0)
set(54,-19600,21584,0)
set(54,-19600,18791,0)
set(10,-20300,14232,0)
set(54,-21000,15979,0)
set(54,-19600,15979,0)
set(10,-20300,8632,0)
set(26,-20300,11432,180)pr
set(10,-20300,3032,0)p
set(23,-20300,232,0)
set(51,-20300,5100,0)
fltchk(64,-20300,226,-1315,0)
set(24,-20300,-8400,0)
set(17,-20300,-10150,90)
set(35,-20300,-8400,0)pr
set(44,-15750,-10150,90)p
set(43,-10150,-10150,-90)p
set(44,-4550,-10150,-90)p
set(17,0,-10150,180)pt
set(24,-5600,29075,180)
set(23,-8900,50350,-90)
set(23,-8900,50350,90)
set(37,-8025,50375,0)
set(37,-9775,50400,0)
set(23,-2275,50350,-90)
set(23,-2275,50350,90)
set(37,-1500,50450,0)
set(37,-3125,50425,0)
set(57,-20300,500,0)
set(16,0,-5600,0)p

maxl(17,-43569,-13289)
maxb(10,-15689,-41169)
maxr(17,4431,-13289)
maxt(10,65910,-41169)
