snap(-33,-40,0)
sky(193,203,220)
fog(203,190,188)
clouds(194,236,255,2,-1500)
ground(191,186,186)
texture(226,26,26,47)
fadefrom(5000)
density(5)
mountains(37382)
nlaps(3)
lightson()

name(Space Walk)

soundtrack(love,zip)

set(48,0,0,0)p
set(15,0,5600,0)
set(35,0,6225,0)pr
set(15,0,11200,0)
set(35,300,10175,180)pr
set(15,0,16800,0)
set(35,-325,13600,180)pr
set(15,0,22400,0)p
set(15,0,28000,180)p
set(15,0,33600,180)
chk(42,0,31900,0)
set(17,0,38150,0)pt
set(15,4550,38150,90)p
set(16,10150,38150,90)p
set(15,15750,38150,90)
set(15,21350,38150,90)
set(15,26950,38150,90)
set(55,21325,38150,-90)pr
set(16,32550,38150,-90)p
set(15,38150,38150,-90)p
set(15,43750,38150,-90)
chk(42,44500,38150,90)
set(17,48300,38150,180)pt
set(21,48300,42700,0)p
set(22,48300,46060,0)p
set(14,48300,48370,-90)pt
set(10,43750,48370,-90)
set(54,42375,49070,90)
set(54,42375,47670,90)
chk(40,45123,48370,90)
set(10,38150,48370,-90)p
set(49,38450,49070,-90)
set(49,38450,47670,90)
set(10,32550,48370,90)
set(49,32850,49070,-90)
set(49,35650,47670,90)
set(49,32850,47670,90)
set(49,35650,49070,-90)
set(10,26950,48370,90)
set(49,27250,49070,-90)
set(49,30050,47670,90)ph
set(49,27250,47670,90)
set(49,30050,49070,-90)
set(10,21350,48370,90)
set(49,21650,49070,-90)
set(49,24450,47670,90)
set(49,21650,47670,90)
set(49,24450,49070,-90)
set(10,15750,48370,90)
set(49,16050,49070,-90)
set(49,18850,47670,90)
set(49,16050,47670,90)
set(49,18850,49070,-90)ph
set(10,10150,48370,90)
set(49,10450,49070,-90)
set(49,13250,47670,90)ph
set(49,10450,47670,90)
set(49,13250,49070,-90)
set(10,4550,48370,90)p
set(49,7650,47670,90)
set(49,7650,49070,-90)
set(54,3725,49070,90)
set(54,3725,47670,90)
set(22,1190,48370,-90)p
set(22,70,48370,90)p
set(10,-3290,48370,90)p
set(54,-490,47670,90)
set(54,-490,49070,90)
set(10,-8890,48370,90)p
set(49,-7490,47670,90)
set(49,-7490,49070,-90)
set(49,-4690,47670,90)
set(49,-4690,49070,-90)
set(10,-14490,48370,90)
set(49,-13090,47670,90)
set(49,-13090,49070,-90)
set(49,-10290,49070,-90)
set(49,-10290,47670,90)
set(10,-20090,48370,90)
set(49,-18690,47670,90)
set(49,-18690,49070,-90)
set(49,-15890,49070,-90)
set(49,-15890,47670,90)ph
set(10,-25690,48370,90)
set(49,-24290,49070,-90)
set(49,-21490,49070,-90)
set(49,-21490,47670,90)
chk(40,-25690,48370,90)
set(10,-31290,48370,90)
set(49,-29890,47670,90)
set(49,-29890,49070,-90)
set(49,-27090,49070,-90)
set(14,-35840,48370,90)pt
set(49,-32690,49070,-90)
set(49,-32690,47670,90)
set(10,-35840,52920,0)
set(49,-35140,51520,180)
set(49,-36540,51520,0)
set(49,-36540,48720,0)ph
set(10,-35840,58520,0)
set(49,-36540,54320,0)ph
set(49,-35140,57120,180)
set(49,-35140,54320,180)
set(49,-36540,57120,0)
set(10,-35840,64120,0)
set(49,-36540,59920,0)
set(49,-35140,62720,180)
set(49,-35140,59920,180)
set(49,-36540,62720,0)ph
fix(41,-35840,69720,-600,0)
set(10,-35840,69720,0)
set(49,-35140,65520,180)
set(49,-36540,65520,0)
set(49,-36540,68320,0)
set(49,-35140,68320,180)
set(10,-35840,75320,0)
set(49,-35140,71120,180)
set(49,-36540,71120,0)ph
set(49,-36540,73920,0)
set(49,-35140,73920,180)
set(54,-36540,77525,180)
set(54,-35140,77525,180)
set(14,-35840,79870,0)pt
set(10,-31290,79870,-90)
chk(40,-31275,79870,90)
set(14,-26740,79870,-90)pt
set(10,-26740,75320,180)p
set(54,-27440,74900,180)
set(54,-26040,74900,180)
set(10,-26740,69720,180)
set(49,-27440,71120,0)
set(49,-26040,71120,180)
set(10,-26740,64120,0)
set(49,-26040,65520,180)
set(49,-27440,65520,0)ph
set(49,-27440,68320,0)
set(49,-26040,68320,180)
set(10,-26740,58520,0)
set(49,-26040,62720,180)
set(49,-27440,62720,0)
set(23,-26740,55720,0)
set(23,-26740,43200,180)p
set(10,-26740,40400,180)
set(54,-26040,42605,0)
set(54,-27440,42605,0)
set(10,-26740,34800,180)
set(49,-27440,39000,0)
set(49,-27440,36200,0)ph
set(49,-26040,36200,180)
set(49,-26040,39000,180)
set(10,-26740,29200,180)
set(49,-26040,33400,180)
set(49,-27440,30600,0)
set(49,-27440,33400,0)
set(49,-26040,30600,180)
chk(40,-26740,26400,0)
set(10,-26740,23600,180)
set(49,-26040,27800,180)
set(49,-27440,25000,0)
set(49,-27440,27800,0)
set(49,-26040,25000,180)
set(10,-26740,18000,180)
set(49,-26040,22200,180)ph
set(49,-27440,19400,0)
set(49,-27440,22200,0)
set(49,-26040,19400,180)
set(10,-26740,12400,180)
set(49,-26040,16600,180)
set(49,-27440,13800,0)
set(49,-27440,16600,0)
set(49,-26040,13800,180)
set(54,-27127,11812,0)
set(54,-26424,12772,0)
set(54,-26464,13552,90)
set(54,-27127,13504,0)
set(54,-27048,12628,90)
set(54,-26460,11896,90)
set(22,-26740,9040,0)
set(49,-27440,11000,0)
set(49,-26040,11000,180)
set(18,-26740,5680,0)
set(49,-26040,8200,180)
set(49,-27440,8200,0)ph
set(18,-26740,80,0)p
set(19,-26740,-4470,90)pt
set(18,-22190,-4470,90)p
set(22,-18830,-4470,-90)p
set(23,-18270,-4470,90)
chk(40,-17380,-4550,90)
set(24,-12950,-4550,90)p
set(16,-10150,-4550,90)p
set(15,-4550,-4550,90)p
set(17,0,-4550,180)pt
set(10,-26725,51400,90)
set(49,-24290,47670,90)
set(49,-27090,47670,90)
set(31,-26740,57400,180)pr
set(23,-23925,51400,90)
set(26,-23925,51400,180)
set(23,-29525,51400,-90)
set(26,-29525,51400,180)pr
set(26,-26740,51400,180)
set(24,-11128,4628,180)
set(15,-11128,7428,180)
set(15,-11128,13028,180)
fix(41,-11128,21000,-1700,0)
set(15,-11128,18628,180)
set(34,-11128,17875,0)
set(15,-11128,24228,180)
set(34,-11128,24100,0)
set(15,-11128,29828,180)
set(24,-11128,38228,0)
set(16,-11128,35428,180)
set(23,-18850,43825,180)
set(23,-18850,43825,0)
set(26,-18850,44925,0)pr


maxl(20,-42077,-8045)
maxb(20,-10445,-39677)
maxr(20,53923,-8045)
maxt(20,85554,-39677)
