snap(-2,-14,-40)
sky(201,220,255)
fog(223,210,189)
clouds(255,255,255,2,-1500)
ground(173,191,156)
texture(226,26,26,52)
fadefrom(5300)
density(5)
mountains(33091)
nlaps(4)

name(Fair Ground)

soundtrack(ROZ_Shuffle,zip)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)
set(29,0,10825,0)pr
set(10,0,16800,0)p
set(10,0,22400,0)p
set(10,0,28000,0)p
set(14,0,32550,-90)pt
set(10,-4550,32550,-90)
chk(40,-4550,32550,90)
set(10,-10150,32550,-90)p
set(23,-16630,32550,-90)
set(10,-19340,35350,0)
set(10,-19340,29750,0)
set(23,-16630,32550,90)
set(56,-15148,32550,90)pr
set(57,-17949,32550,90)pr
set(23,-22050,32550,90)
set(23,-22050,32550,-90)
set(57,-20731,32550,-90)pr
set(10,-28530,32550,90)
set(56,-23532,32550,-90)pr
set(10,-34130,32550,90)p
set(10,-39730,32550,-90)p
set(23,-47275,32550,90)
set(56,-44728,32550,90)pr
set(10,-50075,32550,-90)
chk(64,-49480,32550,90,-1490)
set(57,-47529,32550,90)pr
set(10,-51780,27975,180)
set(23,-51780,30775,180)
set(10,-51780,37375,180)
set(23,-51780,34575,0)
set(60,-50320,32550,90)pr
set(10,-55675,32550,-90)
set(60,-53120,32550,-90)pr
set(23,-58475,32550,-90)
set(23,-62250,32550,90)
set(58,-56414,32550,90)pr
set(10,-65050,32550,90)
set(59,-59511,32550,90)pr
set(59,-61189,32550,-90)pr
set(23,-67850,32550,-90)
set(10,-66384,26300,90)
set(58,-64286,32550,-90)pr
set(57,-67571,32550,-90)pr
set(10,-75370,32550,90)
set(56,-70372,32550,-90)pr
set(14,-79920,32550,0)pt
set(10,-79920,28000,0)
chk(40,-79920,29375,0)
set(10,-79920,22400,180)
set(10,-79920,17530,180)
set(31,-79920,21891,180)pr
set(10,-79920,11930,0)p
set(10,-79920,6330,0)p
set(10,-79920,730,0)p
set(14,-79920,-3820,90)pt
set(22,-77610,-3820,90)
chk(40,-78170,-3820,90)
set(18,-74250,-3820,-90)
set(36,-74390,-6166,180)ph
set(25,-74390,-4582,0)
set(18,-68650,-3820,-90)
set(36,-70470,-6166,180)
set(36,-72430,-6166,180)
set(36,-68510,-6166,180)
set(25,-70470,-5352,180)
set(25,-72430,-4582,0)
set(25,-68510,-5352,180)
set(18,-63050,-3820,-90)
set(36,-66550,-6166,180)ph
set(36,-64590,-6166,180)
set(25,-66550,-5352,180)
set(25,-64590,-5352,180)
set(18,-57450,-3820,-90)p
set(22,-54090,-3820,-90)p
set(14,-51780,-3820,180)pt
set(10,-51780,730,180)
chk(40,-51780,-1300,0)
set(10,-51780,6330,180)p
set(10,-51780,11930,180)p
set(23,-51780,19575,0)
set(56,-51780,16928,0)pr
set(10,-51780,22375,180)
set(57,-51780,19729,0)pr
set(60,-51780,22520,0)pr
set(58,-51780,25814,0)pr
set(59,-51780,28911,0)pr
set(61,-51780,31150,0)pr
set(61,-51780,33950,180)
chk(64,-51780,34230,0,-3202)
set(59,-51780,36189,180)pr
set(10,-51780,42975,180)
set(58,-51780,39286,180)pr
set(10,-51780,48575,180)
set(58,-51780,43074,0)pr
set(10,-51780,54175,180)
set(58,-51780,47616,180)pr
set(60,-51780,50910,180)pr
